46447280,128,3.1785714285714284,3,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.25,3
47637992,128,3.1785714285714284,3,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.25,3
72008454,128,3.1785714285714284,3,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.25,3
80209750,128,3.1785714285714284,3,3,3,4.0,4.0,4.0,4.0,4.0,4.0,3.25,4
7258663,583,3.1785714285714284,3,3,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3
22704301,583,3.1785714285714284,3,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3
28293739,583,3.1785714285714284,3,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3
28993053,583,3.1785714285714284,3,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3
19564379,584,3.1785714285714284,3,3,4,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.1818181818181817,3
21513166,584,3.1785714285714284,3,3,4,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.1818181818181817,3
23862573,584,3.1785714285714284,3,3,4,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.1818181818181817,3
23862969,584,3.1785714285714284,3,3,4,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.1818181818181817,3
26685002,584,3.1785714285714284,3,3,4,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.1818181818181817,3
29568407,584,3.1785714285714284,3,3,4,3,3,4.0,4.0,4.0,4.0,4.0,4.0,3.1818181818181817,4
41378607,584,3.1785714285714284,3,3,4,3,3,4.0,4.0,4.0,4.0,4.0,4.0,3.1818181818181817,4
42485812,584,3.1785714285714284,3,3,4,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.1818181818181817,3
43253728,584,3.1785714285714284,3,4,3,3,3,3,3.0,3.0,3.0,3.0,3.0,3.1818181818181817,3
43714521,584,3.1785714285714284,3,3,4,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.1818181818181817,3
74392026,584,3.1785714285714284,3,3,4,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.1818181818181817,3
7258663,587,3.1785714285714284,3,3,3,4,3,3,3.0,3.0,3.0,3.0,3.0,3.2222222222222223,3
15762376,587,3.1785714285714284,3,3,4,3,4,3.0,3.0,3.0,3.0,3.0,3.0,3.2222222222222223,3
27280690,587,3.1785714285714284,3,3,4,3,4,4.0,4.0,4.0,4.0,4.0,4.0,3.2222222222222223,4
40420947,587,3.1785714285714284,3,3,4,3,4,4.0,4.0,4.0,4.0,4.0,4.0,3.2222222222222223,4
42634439,587,3.1785714285714284,3,3,4,3,4,3.0,3.0,3.0,3.0,3.0,3.0,3.2222222222222223,3
43253728,587,3.1785714285714284,4,3,3,3,3,3,3.0,3.0,3.0,3.0,3.0,3.2222222222222223,3
43812773,587,3.1785714285714284,3,3,4,3,4,3.0,3.0,3.0,3.0,3.0,3.0,3.2222222222222223,3
72264937,587,3.1785714285714284,3,3,4,3,4,3.0,3.0,3.0,3.0,3.0,3.0,3.2222222222222223,3
73192139,587,3.1785714285714284,3,3,4,3,4,3.0,3.0,3.0,3.0,3.0,3.0,3.2222222222222223,3
